127.0.0.1 - - [29/Apr/2024:15:02:35 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:02:51 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:02:57 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:02:57 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:03:18 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:03:20 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:03:31 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:03:32 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:03:48 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:03:50 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:03:57 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:03:59 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:04:06 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:04:08 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:04:18 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:04:19 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:04:35 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:04:37 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:08:44 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:08:47 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:08:57 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:09:00 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:09:03 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1203
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:09:05 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:11:47 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1203
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:11:50 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:11:50 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:12:56 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:12:56 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:14:22 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:14:22 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:14:59 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:15:00 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:16:00 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:16:01 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:25:20 +0700] "GET /movie-app/singUp.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:25:22 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:25:31 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:25:32 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:25:41 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:25:45 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:26:38 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:26:39 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:27:54 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:27:54 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:29:52 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:29:54 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:30:24 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:30:25 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:30:48 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:30:48 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:46:02 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:46:04 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:46:43 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:46:44 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:48:08 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:48:08 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:49:01 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:49:01 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:49:43 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:49:44 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:50:03 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:50:04 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:50:26 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:50:28 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:51:08 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:51:09 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:56:53 +0700] "GET /movie-app/login.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:56:54 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:56:57 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [29/Apr/2024:15:56:59 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [29/Apr/2024:16:01:26 +0700] "GET /movie-app/signUp.jsp HTTP/1.1" 200 1650
0:0:0:0:0:0:0:1 - - [29/Apr/2024:16:01:26 +0700] "GET /movie-app/css/style_signUp.css HTTP/1.1" 200 34
